X,Y,DEPTH (m),-1,Z
541722.086,710953.721,4.57,-1,-4.57
541722.043,710953.697,4.61,-1,-4.61
541722,710953.672,4.59,-1,-4.59
541721.896,710953.592,4.59,-1,-4.59
541721.791,710953.512,4.62,-1,-4.62
541721.687,710953.432,4.66,-1,-4.66
541721.583,710953.352,4.59,-1,-4.59
541721.478,710953.272,4.65,-1,-4.65
541721.374,710953.193,4.61,-1,-4.61
541721.269,710953.113,4.61,-1,-4.61
541721.165,710953.033,4.62,-1,-4.62
541721.061,710952.953,4.53,-1,-4.53
541720.956,710952.873,4.51,-1,-4.51
541720.852,710952.793,4.53,-1,-4.53
541720.748,710952.713,4.51,-1,-4.51
541720.643,710952.633,4.48,-1,-4.48
541720.539,710952.553,4.47,-1,-4.47
541720.434,710952.474,4.46,-1,-4.46
541720.33,710952.394,4.47,-1,-4.47
541720.226,710952.314,4.48,-1,-4.48
541720.121,710952.234,4.48,-1,-4.48
541720.017,710952.154,4.46,-1,-4.46
541719.913,710952.074,4.48,-1,-4.48
541719.808,710951.994,4.5,-1,-4.5
541719.704,710951.914,4.46,-1,-4.46
541719.6,710951.834,4.49,-1,-4.49
541719.495,710951.754,4.5,-1,-4.5
541719.391,710951.674,4.55,-1,-4.55
541719.286,710951.595,4.49,-1,-4.49
541719.182,710951.515,4.5,-1,-4.5
541719.078,710951.435,4.51,-1,-4.51
541718.973,710951.355,4.46,-1,-4.46
541718.869,710951.275,4.59,-1,-4.59
541716.796,710950.03,4.4,-1,-4.4
541714.724,710948.785,4.38,-1,-4.38
541712.652,710947.54,4.36,-1,-4.36
541710.579,710946.295,4.44,-1,-4.44
541710.37,710946.184,4.4,-1,-4.4
541710.161,710946.074,4.42,-1,-4.42
541709.953,710945.963,4.38,-1,-4.38
541709.744,710945.852,4.43,-1,-4.43
541709.535,710945.742,4.42,-1,-4.42
541709.326,710945.631,4.44,-1,-4.44
541709.117,710945.52,4.38,-1,-4.38
541708.909,710945.409,4.4,-1,-4.4
541708.7,710945.299,4.3,-1,-4.3
541708.491,710945.188,4.38,-1,-4.38
541708.282,710945.077,4.43,-1,-4.43
541708.073,710944.967,4.38,-1,-4.38
541707.865,710944.856,4.38,-1,-4.38
541707.656,710944.745,4.37,-1,-4.37
541707.447,710944.635,4.34,-1,-4.34
541707.238,710944.524,4.36,-1,-4.36
541707.029,710944.413,4.38,-1,-4.38
541706.821,710944.302,4.46,-1,-4.46
541706.612,710944.192,4.42,-1,-4.42
541706.403,710944.081,4.45,-1,-4.45
541706.194,710943.97,4.46,-1,-4.46
541705.985,710943.86,4.46,-1,-4.46
541705.777,710943.749,4.5,-1,-4.5
541705.568,710943.638,4.54,-1,-4.54
541705.359,710943.528,4.51,-1,-4.51
541705.15,710943.417,4.53,-1,-4.53
541704.941,710943.306,4.51,-1,-4.51
541704.733,710943.195,4.49,-1,-4.49
541704.524,710943.085,4.54,-1,-4.54
541704.315,710942.974,4.58,-1,-4.58
541704.108,710942.859,4.61,-1,-4.61
541703.9,710942.743,4.55,-1,-4.55
541703.693,710942.628,4.59,-1,-4.59
541703.486,710942.513,4.57,-1,-4.57
541703.279,710942.398,4.61,-1,-4.61
541703.071,710942.282,4.59,-1,-4.59
541702.864,710942.167,4.59,-1,-4.59
541702.657,710942.052,4.66,-1,-4.66
541702.45,710941.936,4.68,-1,-4.68
541702.242,710941.821,4.7,-1,-4.7
541702.035,710941.706,4.76,-1,-4.76
541701.828,710941.591,4.8,-1,-4.8
541701.621,710941.475,4.75,-1,-4.75
541701.413,710941.36,4.73,-1,-4.73
541701.206,710941.245,4.68,-1,-4.68
541700.999,710941.13,4.65,-1,-4.65
541700.792,710941.014,4.63,-1,-4.63
541700.585,710940.899,4.74,-1,-4.74
541700.377,710940.784,4.62,-1,-4.62
541700.17,710940.668,4.58,-1,-4.58
541699.963,710940.553,4.59,-1,-4.59
541699.755,710940.438,4.59,-1,-4.59
541699.548,710940.323,4.58,-1,-4.58
541699.341,710940.207,4.62,-1,-4.62
541699.134,710940.092,4.63,-1,-4.63
541698.926,710939.977,4.63,-1,-4.63
541698.719,710939.861,4.59,-1,-4.59
541698.512,710939.746,4.63,-1,-4.63
541698.305,710939.631,4.61,-1,-4.61
541698.097,710939.516,4.65,-1,-4.65
541697.89,710939.4,4.65,-1,-4.65
541697.683,710939.285,4.72,-1,-4.72
541697.461,710939.17,4.67,-1,-4.67
541697.238,710939.056,4.8,-1,-4.8
541697.016,710938.941,4.65,-1,-4.65
541696.793,710938.827,4.69,-1,-4.69
541696.571,710938.712,4.8,-1,-4.8
541696.349,710938.598,4.72,-1,-4.72
541696.126,710938.483,4.8,-1,-4.8
541695.904,710938.369,4.86,-1,-4.86
541695.682,710938.254,4.76,-1,-4.76
541695.459,710938.14,4.8,-1,-4.8
541695.237,710938.025,4.78,-1,-4.78
541695.014,710937.911,4.75,-1,-4.75
541694.792,710937.796,4.83,-1,-4.83
541694.57,710937.682,4.88,-1,-4.88
541694.347,710937.567,4.75,-1,-4.75
541694.125,710937.453,4.75,-1,-4.75
541693.903,710937.338,4.97,-1,-4.97
541693.68,710937.224,4.82,-1,-4.82
541693.458,710937.109,4.83,-1,-4.83
541693.235,710936.995,4.83,-1,-4.83
541693.013,710936.88,4.79,-1,-4.79
541692.791,710936.766,4.76,-1,-4.76
541692.568,710936.651,4.84,-1,-4.84
541692.346,710936.537,4.79,-1,-4.79
541692.124,710936.422,4.84,-1,-4.84
541691.901,710936.308,4.72,-1,-4.72
541691.679,710936.193,4.8,-1,-4.8
541691.456,710936.079,4.71,-1,-4.71
541691.234,710935.964,4.76,-1,-4.76
541691.087,710935.909,4.76,-1,-4.76
541690.939,710935.853,4.7,-1,-4.7
541690.792,710935.798,4.74,-1,-4.74
541690.644,710935.743,4.74,-1,-4.74
541690.497,710935.687,4.79,-1,-4.79
541690.35,710935.632,4.78,-1,-4.78
541690.202,710935.576,4.8,-1,-4.8
541690.055,710935.521,4.84,-1,-4.84
541689.907,710935.466,4.83,-1,-4.83
541689.76,710935.41,4.94,-1,-4.94
541689.613,710935.355,5.01,-1,-5.01
541689.465,710935.3,4.83,-1,-4.83
541689.318,710935.244,4.84,-1,-4.84
541689.17,710935.189,4.92,-1,-4.92
541689.023,710935.134,4.88,-1,-4.88
541688.876,710935.078,4.93,-1,-4.93
541688.728,710935.023,4.84,-1,-4.84
541688.581,710934.967,4.88,-1,-4.88
541688.433,710934.912,4.87,-1,-4.87
541688.286,710934.857,4.86,-1,-4.86
541688.139,710934.801,4.82,-1,-4.82
541687.991,710934.746,4.82,-1,-4.82
541687.844,710934.691,4.99,-1,-4.99
541687.696,710934.635,4.88,-1,-4.88
